region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
354,0,l3,336.0,168.0,168.0,706692160.6118548,353346080.3059274,353346080.3059274,0.002509560229445507,0.0012547801147227535,0.0012547801147227535,1.1931818181818182e-09,5.965909090909091e-10,5.965909090909091e-10,0.6424474187380497,0.32122370936902483,0.32122370936902483
354,0,gti,13.0,13.0,0.0,27342256.214149144,27342256.214149144,0.0,0.0001941921606118547,0.0003883843212237094,0.0,1.846590909090909e-10,1.846590909090909e-10,0.0,0.0248565965583174,0.0248565965583174,0.0
354,0,llc,13.0,13.0,0.0,27342256.214149144,27342256.214149144,0.0,0.0001941921606118547,0.0003883843212237094,0.0,1.846590909090909e-10,1.846590909090909e-10,0.0,0.0248565965583174,0.0248565965583174,0.0
354,0,dram,13.0,13.0,0.0,27342256.214149144,27342256.214149144,0.0,0.0005696303377947738,0.0005696303377947738,0.0,2.7083333333333333e-10,2.7083333333333333e-10,0.0,0.0248565965583174,0.0248565965583174,0.0
295,0,l3,222.0,111.0,111.0,466921606.1185469,233460803.05927345,233460803.05927345,0.0016581022944550672,0.0008290511472275336,0.0008290511472275336,7.883522727272727e-10,3.9417613636363637e-10,3.9417613636363637e-10,0.42447418738049714,0.21223709369024857,0.21223709369024857
295,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,0,l3,14231660.0,7129302.0,7102358.0,168456083.55806544,84387505.98473285,84068577.5733326,0.000598210523998812,0.0002996715411389661,0.00029853898285984586,5.053856534090909e-05,2.5317123579545453e-05,2.5221441761363636e-05,0.15314189414369586,0.07671591453157532,0.07642597961212054
329,0,gti,404125.0,404125.0,0.0,4783511.8860275755,4783511.8860275755,0.0,3.397380600871857e-05,6.794761201743714e-05,0.0,5.740411931818182e-06,5.740411931818182e-06,0.0,0.004348647169115977,0.004348647169115977,0.0
329,0,llc,404125.0,404125.0,0.0,4783511.8860275755,4783511.8860275755,0.0,3.397380600871857e-05,6.794761201743714e-05,0.0,5.740411931818182e-06,5.740411931818182e-06,0.0,0.004348647169115977,0.004348647169115977,0.0
329,0,dram,404125.0,404125.0,0.0,4783511.8860275755,4783511.8860275755,0.0,9.965649762557448e-05,9.965649762557448e-05,0.0,8.419270833333333e-06,8.419270833333333e-06,0.0,0.004348647169115977,0.004348647169115977,0.0
63,0,l3,10765920.0,5393360.0,5372560.0,83567813.96139714,41864634.430391535,41703179.5310056,0.00029676070298791595,0.00014866702567610632,0.00014809367731180966,3.823125e-05,1.915255681818182e-05,1.9078693181818182e-05,0.07597073996490648,0.03805875857308321,0.03791198139182327
63,0,gti,3413.000000000001,3413.000000000001,0.0,26492.57555789459,26492.57555789459,0.0,1.881574968600468e-07,3.763149937200936e-07,0.0,4.848011363636365e-08,4.848011363636365e-08,0.0,2.408415959808599e-05,2.408415959808599e-05,0.0
63,0,llc,3413.000000000001,3413.000000000001,0.0,26492.57555789459,26492.57555789459,0.0,1.881574968600468e-07,3.763149937200936e-07,0.0,4.848011363636365e-08,4.848011363636365e-08,0.0,2.408415959808599e-05,2.408415959808599e-05,0.0
63,0,dram,3413.0,3413.0,0.0,26492.575557894583,26492.575557894583,0.0,5.519286574561371e-07,5.519286574561371e-07,0.0,7.110416666666667e-08,7.110416666666667e-08,0.0,2.4084159598085983e-05,2.4084159598085983e-05,0.0
