region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
354,0,int32,5682982791.586999,2702.0,207.84615384615384
354,0,int64,0.0,0,0.0
354,0,float32,62352963671.12811,29646.0,2280.4615384615386
354,0,float64,0.0,0,0.0
295,0,int32,5666156787.762907,2694.0,207.23076923076923
295,0,int64,0.0,0,0.0
295,0,float32,62327724665.391975,29634.0,2279.5384615384614
295,0,float64,0.0,0,0.0
329,0,int32,5788703691.948079,489046528.0,1210.136784410764
329,0,int64,0.0,0,0.0
329,0,float32,30381777268.511787,2566740928.25,6351.353982678626
329,0,float64,16877000503.961037,1425818100.0,3528.1610887720385
63,0,int32,3794551344.3333964,488846534.0,143230.74538529152
63,0,int64,0.0,0,0.0
63,0,float32,19921368428.060184,2566440937.25,751960.4269704073
63,0,float64,11067563359.526426,1425818100.0,417760.94345150894
